sqft,bedrooms,bathrooms,age_years,location_score,price
2123,2,1.5,20.5,4.8,361300
1710,2,1.2,28.4,6.5,287700
2221,4,3.1,53.9,1.7,378600
2790,4,3.8,5.0,1.8,411900
1648,1,1.0,16.8,2.5,238100
1648,5,3.6,64.7,5.7,313800
2826,2,1.6,11.8,2.9,358500
2299,3,2.8,27.4,3.5,437600
1495,4,3.0,69.2,4.6,281300
2153,5,3.0,12.4,8.3,414200
1499,4,2.7,6.6,1.1,290300
1497,4,2.3,38.8,6.8,230800
1957,3,3.1,24.2,7.0,332000
556,4,2.9,45.1,8.2,200700
679,2,3.0,64.3,9.4,208200
1435,5,3.5,11.0,1.2,312600
1142,3,1.8,46.5,2.4,211700
2004,4,1.8,40.4,9.0,361300
1210,3,1.0,11.5,5.1,232800
882,4,1.8,49.9,6.1,184200
2753,3,2.5,21.9,7.0,442000
1653,4,3.3,39.0,7.1,330300
1844,2,1.0,6.6,9.4,315700
874,2,2.3,36.8,10.0,261400
1446,3,2.0,24.5,7.5,279500
1872,2,1.8,65.8,3.6,296100
1052,5,4.6,4.6,8.9,310700
2044,2,2.3,33.5,1.4,319100
1410,6,3.9,36.7,3.1,281800
1610,3,1.7,58.0,9.1,325700
1409,2,1.0,45.9,3.3,185300
3004,4,2.4,53.4,3.0,486900
1791,4,2.8,62.2,2.2,302800
1112,3,1.6,69.0,8.7,275400
2335,4,2.8,25.1,5.5,369500
1006,4,3.0,43.0,7.1,242400
1936,2,1.5,67.2,3.2,230700
526,6,3.6,79.2,7.8,153600
937,6,4.2,71.2,7.8,266600
1928,4,3.2,29.7,3.8,379900
2280,2,1.0,15.6,4.7,344800
1911,4,3.9,39.2,2.9,237000
1725,2,1.6,59.3,9.8,289100
1604,1,1.1,39.4,6.8,184000
839,3,2.8,38.7,9.4,275300
1332,3,2.5,67.1,3.7,184700
1501,5,4.2,28.9,8.0,405100
2487,4,3.1,68.8,7.9,445000
2023,4,2.5,32.5,7.2,344900
654,3,2.6,26.3,9.7,202000
2011,3,1.5,36.3,4.5,361800
1550,3,2.4,61.0,2.2,229300
1360,6,4.1,10.1,7.0,331900
2198,1,1.0,15.7,7.6,284800
2470,5,3.4,76.1,6.2,348800
2405,4,1.6,14.0,2.9,301500
1255,3,1.9,45.4,5.5,250300
1599,4,3.0,46.3,3.8,272900
2015,3,2.4,39.2,4.8,346000
2434,5,2.8,51.6,6.8,417800
1489,5,4.4,18.4,7.7,385100
1679,3,1.7,44.2,3.1,294600
1081,3,3.0,29.8,4.6,236000
1022,4,3.2,52.9,3.4,234200
2328,5,3.0,11.3,2.8,346100
2682,2,2.9,45.7,8.1,420000
1753,4,2.1,14.8,9.2,350400
2452,4,3.5,22.3,4.3,418400
2035,4,3.6,17.5,7.8,377200
1381,2,1.2,14.6,9.1,258300
2035,4,3.9,66.1,8.6,326400
2800,5,3.3,22.9,2.6,532000
1777,2,1.9,74.2,9.6,335000
2817,3,2.5,77.6,4.4,391800
450,6,4.0,45.7,4.1,177200
2334,2,2.3,11.4,1.6,345800
1857,5,4.1,30.0,5.4,448500
1606,3,1.1,63.8,2.0,215800
1860,3,3.2,29.4,3.2,383300
508,5,2.3,7.0,3.9,200700
1657,3,3.0,44.5,8.3,285300
2032,3,3.1,67.6,8.9,327800
2761,3,1.5,63.7,3.7,312000
1463,4,2.6,14.0,8.7,340500
1274,2,1.0,53.8,8.7,272800
1474,3,2.1,17.6,7.9,365400
2395,6,3.9,17.5,2.3,485000
2014,3,2.8,69.9,7.2,354900
1456,4,3.8,20.0,9.5,291300
2134,3,3.3,21.1,7.1,364600
1863,4,2.5,0.1,4.0,373400
2430,2,1.6,69.7,5.5,377300
1344,6,2.9,63.4,6.8,292600
1587,3,1.7,50.2,5.6,290300
1545,3,3.0,60.0,2.1,302200
849,2,2.8,12.2,3.8,238200
1992,2,1.0,36.7,8.2,355800
1970,3,1.9,28.1,8.8,361700
1803,3,2.3,7.5,2.2,323600
1648,4,3.1,38.9,9.6,405600
880,3,1.7,73.7,4.0,154000
1527,3,2.6,3.2,7.0,336700
1577,4,2.6,23.3,7.8,283500
1279,4,2.9,16.6,8.3,353500
1695,2,2.1,19.1,9.5,354500
2063,2,1.7,72.7,3.8,321300
3026,1,1.0,37.4,8.7,435800
1913,4,2.8,37.3,2.2,336300
1967,4,2.8,60.8,7.3,286200
1752,3,2.0,12.4,7.7,317100
553,5,3.3,39.0,7.1,224800
1783,4,4.0,34.4,3.3,330900
1839,4,3.3,47.8,8.9,370600
3401,5,3.3,80.0,2.5,478200
1675,2,2.2,61.6,1.5,247600
1996,2,1.5,31.8,7.5,345400
1777,3,3.1,66.2,5.3,286100
1040,2,2.0,13.7,8.6,271200
2543,3,2.2,2.4,4.5,452400
2289,5,3.8,16.4,2.5,401700
2314,1,1.0,27.2,8.5,346700
1209,2,1.0,40.8,5.9,235300
2712,3,1.5,49.2,2.7,243400
889,5,3.6,72.8,7.5,235600
2181,3,3.5,40.8,5.6,379700
3224,3,3.9,40.1,6.4,510800
1156,1,1.5,4.0,5.1,187700
1432,2,2.1,2.8,8.5,283200
1865,6,2.8,44.1,8.5,361600
1473,6,3.7,35.1,7.4,370900
792,1,1.0,67.1,1.9,120800
1845,6,3.7,12.9,8.5,344400
1110,4,2.8,2.0,7.0,294100
2108,5,3.2,35.9,7.3,394900
1202,3,1.0,19.0,4.3,198700
2807,3,2.8,4.0,8.9,547300
1291,3,1.5,58.0,7.5,248300
1591,4,3.1,8.9,2.0,282800
2329,2,3.2,48.7,4.7,410800
1000,1,1.0,22.5,9.0,174000
1948,3,1.0,13.9,1.4,299500
2650,4,2.7,30.4,9.7,505000
755,2,2.5,64.1,7.1,180600
1920,4,4.3,31.4,6.7,317900
1969,6,3.2,60.1,3.4,316500
2308,2,2.0,10.0,3.2,364800
996,4,2.6,61.8,9.5,278100
942,3,2.2,19.0,3.7,251200
2139,5,5.4,54.2,8.0,436500
1993,2,1.0,45.3,4.5,311200
1963,4,3.1,74.3,2.3,312100
2025,5,3.8,31.0,1.1,372800
1358,5,4.3,5.3,5.9,327000
1951,4,3.0,1.5,9.8,390600
1990,3,2.5,66.1,4.3,362600
1336,4,2.6,42.0,4.2,271600
3013,5,3.7,62.0,4.1,550800
2108,4,2.7,18.8,5.7,365300
1026,1,1.5,27.6,5.0,211600
2227,5,3.2,2.4,8.9,513000
1166,4,3.2,76.9,5.5,231900
2312,4,2.9,53.4,5.6,369900
2553,2,2.5,74.7,2.2,304800
1267,4,2.9,21.2,9.8,351900
2426,3,1.1,48.9,3.2,386700
2068,4,3.8,54.3,1.7,442800
2334,2,1.1,25.4,7.0,370000
3033,4,2.4,67.8,6.4,444000
1640,6,3.7,75.8,4.7,321600
1310,1,2.1,70.8,4.8,197500
1222,6,2.6,59.1,8.1,324400
1270,3,4.5,22.2,2.8,280400
1750,5,4.2,22.5,8.4,386100
2022,4,3.1,77.1,6.8,390800
1980,4,2.9,0.8,4.8,375800
2338,4,3.1,57.3,5.1,425600
1808,5,3.9,56.5,3.3,350900
2745,3,2.8,49.8,7.8,452800
1628,3,2.7,79.2,5.6,279600
3568,4,3.0,25.0,3.9,457600
2207,4,2.8,27.2,6.4,372500
1243,4,2.8,6.3,10.0,347200
1104,4,2.8,35.4,4.9,233200
2114,3,3.1,20.9,9.3,446900
1655,4,3.3,27.5,4.1,265500
2264,2,1.0,66.8,1.5,340300
2108,3,2.8,74.8,2.8,280000
1753,1,1.2,14.9,4.8,308200
1250,3,2.3,29.8,3.0,255800
815,3,2.0,74.3,1.0,134900
1510,3,3.1,4.9,9.2,387000
2357,4,3.6,7.4,8.6,446600
1939,3,1.8,13.0,7.7,400900
990,3,2.6,47.6,2.5,181600
1913,3,1.6,12.0,2.1,291200
2050,3,1.3,77.4,1.6,257800
1225,2,1.3,35.7,7.5,255700
1900,2,2.3,40.1,9.4,325000
1838,4,3.6,19.7,4.9,308900
1057,4,3.3,37.7,2.1,188500
2033,4,3.4,53.0,5.6,314500
2165,3,2.7,60.1,4.1,397100
2504,3,1.9,60.3,4.4,311000
2485,5,3.8,46.2,6.6,466200
905,3,2.9,72.3,7.5,248600
1190,3,2.8,65.4,2.0,203800
2135,1,1.9,60.6,1.3,341400
2134,3,2.8,4.4,9.9,449600
2135,3,2.5,0.6,3.1,392800
4304,3,3.0,17.0,1.5,590000
2171,4,2.9,53.1,2.7,354700
2538,3,1.7,32.9,1.4,285100
2420,4,2.8,32.2,4.5,435100
2223,4,2.4,70.8,8.2,408600
1595,4,2.4,71.6,4.1,246600
2293,4,2.8,72.7,5.0,368000
1298,6,3.5,25.1,7.1,320300
1646,1,1.0,55.3,5.6,208700
1485,2,1.0,21.7,8.8,310100
1853,1,1.2,15.2,8.8,282600
3305,4,2.9,14.8,1.1,505700
586,5,2.9,27.4,8.0,254000
2246,3,2.8,34.4,5.1,391900
752,5,4.2,66.5,9.9,297100
1493,2,1.0,9.6,5.3,255600
2508,5,3.0,58.8,9.9,475100
1842,3,1.8,42.5,7.8,366100
1099,2,1.0,23.0,3.2,243100
1335,3,2.9,39.4,5.8,253800
2242,3,2.2,24.0,9.9,412500
1325,3,2.1,47.7,8.7,244500
1941,3,1.0,34.7,1.9,288800
1830,4,3.3,13.2,7.4,414200
1376,3,1.4,9.3,4.1,236200
3194,3,2.3,43.7,1.1,479700
2212,4,3.1,72.2,4.6,372000
484,4,3.9,27.5,3.1,222300
1921,3,1.4,58.6,8.4,321100
1370,3,1.0,52.7,4.0,218200
2354,2,1.8,74.5,8.4,274900
1285,2,3.0,65.7,1.0,232800
1725,4,3.8,45.3,3.8,243200
2128,2,1.8,52.6,3.2,326500
2363,3,2.0,71.9,3.1,336300
1020,4,3.5,32.0,1.6,206600
1583,2,1.0,26.1,2.7,247200
1491,4,3.2,0.9,6.0,282300
1375,3,2.7,66.1,3.6,272600
2948,6,4.8,64.1,4.8,585500
2063,3,4.2,8.4,4.4,412100
980,4,3.2,46.1,8.9,252800
2397,4,2.5,37.1,9.1,446600
3179,1,1.1,9.5,5.4,449500
2471,4,1.7,78.4,4.0,389800
812,6,3.6,17.2,2.0,179900
1485,4,2.6,5.4,9.6,348000
2623,4,2.5,47.6,1.5,407500
1340,5,3.6,59.1,3.7,301600
2088,2,1.1,2.6,3.7,286800
2304,2,2.5,52.7,3.9,303200
1197,4,2.9,42.6,2.5,287300
1761,3,2.3,8.3,8.0,291000
450,5,3.3,13.8,2.1,120700
1134,5,3.6,45.4,6.7,214200
1636,3,2.9,23.7,2.1,326500
989,3,1.7,75.1,1.6,156600
2861,4,2.4,65.5,9.2,343800
870,3,2.1,78.7,2.7,212800
1514,4,2.0,20.8,8.4,352600
1885,3,1.7,77.6,5.9,293200
2737,4,2.6,34.5,1.7,355000
867,2,2.3,27.8,9.6,253900
2556,4,3.1,4.0,3.2,443100
1807,3,2.4,4.2,8.7,382300
1162,4,3.5,55.4,2.5,226100
2100,2,1.6,36.6,8.7,378500
1929,4,3.2,18.1,1.1,327800
1410,5,3.4,49.1,5.6,339900
1845,2,1.9,20.2,7.9,329600
1550,2,1.3,46.2,9.4,325800
1874,1,1.0,28.7,9.2,343500
2230,4,2.8,65.9,8.4,369700
2831,4,3.9,65.7,9.0,553000
995,3,2.9,38.2,2.8,178100
3186,3,3.0,28.1,3.6,518200
531,3,3.2,29.0,3.6,153600
1701,4,3.0,64.5,4.4,289100
2182,3,2.4,26.3,4.5,302900
1983,6,3.7,16.7,5.9,404700
1395,2,1.5,6.8,2.4,205100
1665,4,3.3,37.3,7.2,340700
1480,3,3.1,38.6,2.5,324400
1417,3,2.2,67.3,3.8,183600
2352,4,2.6,17.7,5.5,455600
2032,4,2.9,30.5,8.2,480900
1350,6,4.5,64.7,7.7,287500
2385,2,1.0,65.9,6.8,344800
2000,2,1.0,30.8,2.4,350100
2328,4,2.5,36.7,5.9,371400
2209,4,2.0,24.3,1.8,324900
1261,3,1.9,74.6,4.4,240400
1436,2,1.6,9.5,4.7,319000
2286,2,1.4,74.7,1.4,335700
2197,5,4.5,54.7,3.5,381300
1786,2,1.9,42.5,9.6,300100
1876,3,2.5,2.6,9.6,356000
2630,2,2.1,38.0,4.2,391500
1415,3,1.5,32.6,1.4,212700
2156,2,2.4,12.9,2.6,298000
1669,3,2.2,52.5,4.5,264500
1659,2,2.2,77.7,9.5,313700
2514,4,2.1,45.0,2.3,337400
2337,3,1.2,57.2,7.9,294200
2329,3,2.9,5.5,2.0,360100
2649,5,3.8,33.4,9.8,497400
1814,4,2.3,9.3,4.4,292500
2243,3,1.7,49.0,8.0,410900
1598,3,3.1,75.1,4.1,263500
2011,3,1.5,52.9,6.6,379300
1715,4,4.0,6.1,2.7,344100
1863,6,3.5,28.4,2.3,351000
2187,4,3.3,44.1,9.4,423800
1268,4,2.7,32.3,9.3,302800
3160,4,3.3,66.7,9.0,535600
1146,3,1.9,65.2,6.6,203200
1011,2,1.6,48.9,8.3,180600
2553,4,2.9,29.9,1.6,417800
2315,6,3.4,20.4,4.0,413100
2206,2,2.2,8.5,3.8,360100
2208,4,2.5,28.4,6.7,320800
1792,2,1.5,33.1,4.2,349000
1217,3,1.6,54.1,2.3,197000
1849,2,1.0,52.7,6.4,297000
